1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
1.04,1.01,0.97,1.01,1.02,1.01,0.99,0.99
1.18,1.10,0.87,0.95,1.08,1.10,1.05,1.06
1.38,1.22,0.76,0.81,1.06,1.23,1.17,1.19
1.58,1.34,0.66,0.71,0.93,1.35,1.29,1.32
1.79,1.46,0.56,0.59,0.78,1.47,1.40,1.42
2.06,1.62,0.43,0.47,0.68,1.61,1.52,1.58
2.39,1.81,0.33,0.35,0.58,1.83,1.72,1.79
2.75,2.05,0.26,0.26,0.47,2.07,1.95,2.04
3.12,2.30,0.19,0.19,0.39,2.31,2.19,2.30
3.53,2.59,0.14,0.13,0.30,2.58,2.46,2.60
3.96,2.93,0.10,0.10,0.24,2.89,2.80,2.96
4.38,3.29,0.08,0.07,0.18,3.23,3.15,3.35
