Time,Cells,T Cells,E1/aTCR 400,E1/aTCR 100,E1/aTCR 25,E1/aTCR 6.25,E1/aTCR 1.56,E1/aTCR 0.39,E1/HINT-aTCR 400,E1/HINT-aTCR 100,E1/HINT-aTCR 25,E1/HINT-aTCR 6.25,E1/HINT-aTCR 1.56,E1/HINT-aTCR 0.39,E1/Cl-HINT-aTCR 400,E1/Cl-HINT-aTCR 100,E1/Cl-HINT-aTCR 25,E1/Cl-HINT-aTCR 6.25,E1/Cl-HINT-aTCR 1.56,E1/Cl-HINT-aTCR 0.39
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1.15,1.13,1.03,1.03,1.15,1.15,1.13,1.11,1.05,1.1,1.21,1.17,1.16,1.15,1.05,1.09,1.17,1.16,1.15,1.14
8,1.39,1.35,0.92,0.91,1.33,1.4,1.37,1.36,1.24,1.3,1.48,1.43,1.4,1.39,1.07,1.13,1.37,1.4,1.39,1.38
12,1.65,1.6,0.75,0.7,1.39,1.66,1.62,1.6,1.35,1.46,1.74,1.7,1.67,1.65,0.94,1,1.54,1.65,1.64,1.61
16,1.96,1.9,0.64,0.6,1.32,1.96,1.92,1.92,1.44,1.59,2.05,2.01,1.99,1.96,0.76,0.84,1.68,1.94,1.94,1.89
20,2.32,2.24,0.56,0.52,1.16,2.31,2.26,2.23,1.52,1.69,2.38,2.37,2.34,2.31,0.64,0.72,1.79,2.23,2.27,2.2
24,2.68,2.6,0.49,0.43,0.98,2.67,2.59,2.53,1.56,1.75,2.65,2.75,2.69,2.67,0.57,0.62,1.88,2.53,2.59,2.51
28,3.05,2.98,0.41,0.35,0.86,3.04,2.91,2.9,1.58,1.8,2.88,3.12,3.08,3.02,0.5,0.54,1.94,2.85,2.9,2.81
32,3.5,3.36,0.33,0.27,0.74,3.41,3.29,3.24,1.56,1.83,3.08,3.5,3.47,3.39,0.42,0.46,1.99,3.17,3.24,3.09
36,3.92,3.73,0.25,0.21,0.64,3.73,3.63,3.59,1.54,1.83,3.23,3.87,3.85,3.73,0.35,0.39,2.03,3.43,3.51,3.33
40,4.26,4.06,0.2,0.16,0.53,4.04,3.92,3.88,1.51,1.81,3.34,4.18,4.17,4.03,0.28,0.31,2.04,3.7,3.82,3.55
44,4.57,4.34,0.15,0.12,0.44,4.28,4.19,4.12,1.47,1.79,3.44,4.46,4.45,4.28,0.22,0.25,2.05,3.91,4.03,3.74
48,4.82,4.57,0.12,0.1,0.37,4.53,4.44,4.32,1.42,1.74,3.5,4.69,4.7,4.49,0.18,0.2,2.04,4.08,4.21,3.88
